London	7,074,265	49.12
Birmingham	1,020,589	49.42
Leeds	726,939	49.43
Glasgow	616,430	47.73
Sheffield	530,375	49.73
Bradford	483,422	49.32
Liverpool	467,995	48.80
Edinburgh	448,850	48.29
Manchester	430,818	49.33
Bristol	399,633	49.59
Kirklees	388,807	49.17
Fife	349,300	48.44
Wirral	329,179	47.89
North Lanarkshire	325,940	48.58
Wakefield	317,342	49.53
Cardiff	315,040	49.09
Dudley	312,194	49.62
Wigan	309,786	49.50
East Riding	308,689	48.87
South Lanarkshire	307,450	48.37
Coventry	306,503	49.43
Belfast	297,300	n/a
Leicester	294,830	49.64
Sunderland	294,261	48.79
Sandwell	292,196	49.09
Doncaster	291,804	49.28
Stockport	291,080	48.55
Sefton	289,739	47.75
Nottingham	283,969	49.38