1	New York	8,550,405
2	Los Angeles	3,971,883
3	Chicago	2,720,546
4	Houston	2,296,224
5	Philadelphia	1,567,442
6	Phoenix	1,563,025
7	San Antonio	1,469,845
8	San Diego	1,394,928
9	Dallas	1,300,092
10	San Jose	1,026,908
11	Austin	931,830
12	Jacksonville	868,031
13	San Francisco	864,816
14	Indianapolis	853,173
15	Columbus	850,106
16	Fort Worth	833,319
17	Charlotte	827,097
18	Seattle	684,451
19	Denver	682,545
20	El Paso	681,124
21	Detroit	677,116
22	Washington	672,228
23	Boston	667,137
24	Memphis	655,770
25	Nashville	654,610
26	Portland, Ore.	632,309
27	Oklahoma City	631,346
28	Las Vegas	623,747
29	Baltimore	621,849
30	Louisville	615,366
31	Milwaukee	600,155
32	Albuquerque	559,121
33	Tucson	531,641
34	Fresno	520,052
35	Sacramento	490,712
36	Kansas City, Mo.	475,378
37	Long Beach	474,140
38	Mesa	471,825
39	Atlanta	463,878
40	Colorado Springs	456,568
41	Virginia Beach	452,745
42	Raleigh	451,066
43	Omaha	443,885
44	Miami	441,003
45	Oakland	419,267
46	Minneapolis	410,939
47	Tulsa	403,505
48	Wichita	389,965
49	New Orleans	389,617
50	Arlington, Texas	388,125